stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
290817,1136,Francia / San Anton,Parada,42.8508879548587,-2.66939397077662,,,,,Europe/Madrid
291073,1137,Francia 23,Parada,42.8485661563809,-2.66837524626278,,,,,Europe/Madrid
332801,1300,Paz,Parada,42.8448961541907,-2.66825183592794,,,,,Europe/Madrid
280577,1096,Manuel Iradier 76,Parada,42.8415803756489,-2.66761717077637,,,,,Europe/Madrid
280833,1097,Comandante Izarduy 14,Parada,42.8379905651306,-2.66875450989156,,,,,Europe/Madrid
286465,1119,Comandante Izarduy / Zumaquera,Parada,42.8360427283279,-2.66937977174565,,,,,Europe/Madrid
348161,1360,Comandante Izarduy / Zumaquera,Parada,42.8358846438749,-2.66920930898427,,,,,Europe/Madrid
264449,1033,Castro Urdiales 2,Parada,42.8388734379878,-2.66577628790899,,,,,Europe/Madrid
264705,1034,Los Herrán 4,Parada,42.8425110048222,-2.66404422399316,,,,,Europe/Madrid
264961,1035,Los Herrán 36,Parada,42.8452515056256,-2.66503442196762,,,,,Europe/Madrid
265217,1036,Los Herrán / Logroño,Parada,42.8488336030582,-2.66589243459508,,,,,Europe/Madrid
265473,1037,Los Herrán 86,Parada,42.8524834396466,-2.66682208726337,,,,,Europe/Madrid
282625,1104,Portal de Legutiano 50,Parada,42.8560206293189,-2.66463659469106,,,,,Europe/Madrid
282881,1105,Portal de Betoño 4,Parada,42.8576216078416,-2.66243767607712,,,,,Europe/Madrid
283137,1106,Portal de Betoño 16,Parada,42.859428445909,-2.65982821650068,,,,,Europe/Madrid
283393,1107,Portal de Betoño / KREA,Parada,42.8612714909667,-2.65730103158566,,,,,Europe/Madrid
283649,1108,Betoño Pueblo,Parada,42.8631145275361,-2.65478976296618,,,,,Europe/Madrid
344321,1345,Portal Zurbano 2,Parada,42.8639177002247,-2.65089552029735,,,,,Europe/Madrid
283905,1109,Portal de Zurbano / Biosfera,Parada,42.8635337420811,-2.64609058699724,,,,,Europe/Madrid
284161,1110,Buesa Arena,Parada,42.8645098180286,-2.64286926725096,,,,,Europe/Madrid
336897,1316,Larragana / Kapelamendi,Parada,42.8670213841175,-2.64548075266249,,,,,Europe/Madrid
337153,1317,Larragana / Portal de Bergara,Parada,42.8673255671364,-2.65069422351518,,,,,Europe/Madrid
2559745,9999,Portal de Bergara 25,Parada,42.8734940761746,-2.64626939704481,,,,,Europe/Madrid
337409,1318,Portal de Bergara / Eskalmendi,Parada,42.873489573644,-2.6462694227454,,,,,Europe/Madrid
278017,1086,Durana,Parada,42.8902062835313,-2.6400207095599,,,,,Europe/Madrid
335361,1310,Durana Estación,Parada,42.8925247308589,-2.64421952546352,,,,,Europe/Madrid
335617,1311,Viveros,Parada,42.8769168319818,-2.64361353440263,,,,,Europe/Madrid
328193,1282,Donostia / Baiona,Parada,42.8646804155555,-2.69068382454003,,,,,Europe/Madrid
289281,1130,Donostia 11,Parada,42.8624788221784,-2.68908966478836,,,,,Europe/Madrid
289537,1131,Portal de Foronda 35,Parada,42.8631202087478,-2.68488304002955,,,,,Europe/Madrid
289793,1132,Intermodal,Parada,42.8602914729275,-2.68285624792116,,,,,Europe/Madrid
290049,1133,Portal de Arriaga / Venezuela,Parada,42.8593979718376,-2.67412783281293,,,,,Europe/Madrid
290305,1134,Portal de Arriaga 21,Parada,42.8555999902488,-2.67333077401831,,,,,Europe/Madrid
290561,1135,San Ignacio,Parada,42.8528865709732,-2.672336843812,,,,,Europe/Madrid
332545,1299,Paz,Parada,42.8446891691429,-2.66829883460757,,,,,Europe/Madrid
291329,1138,Castilla 36,Parada,42.8421400634249,-2.68401063439667,,,,,Europe/Madrid
291585,1139,Castilla / Etxezarra,Parada,42.841014270836,-2.68724389938763,,,,,Europe/Madrid
291841,1140,Castilla 80,Parada,42.8397500266365,-2.69092973574231,,,,,Europe/Madrid
292097,1141,Castilla 120,Parada,42.8383289487793,-2.69494505105921,,,,,Europe/Madrid
292353,1142,José María Cagigal 5,Parada,42.8344363909386,-2.69919317973741,,,,,Europe/Madrid
292609,1143,Avenida San Prudencio 54,Parada,42.833925449862,-2.70181868192304,,,,,Europe/Madrid
292865,1144,Camino de Armentia 20,Parada,42.8346597908205,-2.70371247271518,,,,,Europe/Madrid
353537,1381,Iruña Veleia / Reina Sofía,Parada,42.8368523015949,-2.7053516066577,,,,,Europe/Madrid
353793,1382,Iruña Veleia / Oyón,Parada,42.8396164220162,-2.7069120592837,,,,,Europe/Madrid
354049,1383,Iruña Veleia / Reina Sofía,Parada,42.8367453017635,-2.70576547035503,,,,,Europe/Madrid
293633,1147,Camino de Armentia 20,Parada,42.8345474456203,-2.70379789499758,,,,,Europe/Madrid
293889,1148,Armentia / Basilica,Parada,42.8324879774114,-2.70138511335096,,,,,Europe/Madrid
294145,1149,José María Cagigal 4,Parada,42.8343817935423,-2.6989777887668,,,,,Europe/Madrid
294401,1150,Castilla 107,Parada,42.8381575370861,-2.69482811718707,,,,,Europe/Madrid
294657,1151,Castilla 67,Parada,42.8398509575217,-2.68995640287714,,,,,Europe/Madrid
294913,1152,Castilla 47,Parada,42.8407083712666,-2.68734639678744,,,,,Europe/Madrid
295169,1153,Castilla / Prado,Parada,42.8419642141438,-2.68392128011065,,,,,Europe/Madrid
295425,1154,Castilla 9,Parada,42.8437106903303,-2.67886742441811,,,,,Europe/Madrid
295681,1155,Ramiro de Maeztu 6,Parada,42.8469526850121,-2.67890265412982,,,,,Europe/Madrid
295937,1156,Ramiro de Maeztu 20,Parada,42.8489543458568,-2.67818627511106,,,,,Europe/Madrid
296193,1157,Domingo Beltrán 30,Parada,42.8517118717928,-2.67726703179336,,,,,Europe/Madrid
296449,1158,Coronación 14,Parada,42.8526546821036,-2.67470562456477,,,,,Europe/Madrid
296705,1159,Portal de Arriaga 20,Parada,42.8556988654444,-2.67326675824649,,,,,Europe/Madrid
266241,1040,Portal de Arriaga / Venezuela,Parada,42.8589691447996,-2.67374909693536,,,,,Europe/Madrid
266497,1041,Juan de Garay / Arriaga,Parada,42.8602335946475,-2.6782470874404,,,,,Europe/Madrid
296961,1160,Intermodal,Parada,42.8603295740468,-2.68198235883238,,,,,Europe/Madrid
297217,1161,Portal de Foronda 24,Parada,42.8626212666287,-2.68355738924512,,,,,Europe/Madrid
297473,1162,Portal de Foronda 44,Parada,42.8649760106222,-2.68514598748658,,,,,Europe/Madrid
297729,1163,Portal de Foronda 64,Parada,42.8686073239928,-2.68759594420824,,,,,Europe/Madrid
288513,1127,Landaberde,Parada,42.8694297707285,-2.6903487016741,,,,,Europe/Madrid
288769,1128,Donostia 49,Parada,42.8676939555786,-2.69283644974684,,,,,Europe/Madrid
342529,1338,Bruselas / Portal de Elorriaga,Parada,42.8496647093863,-2.64724139504643,,,,,Europe/Madrid
297985,1164,Bulevar de Salburua / Plaza Unión,Parada,42.8511330050155,-2.65032188148921,,,,,Europe/Madrid
298241,1165,8 de marzo 27,Parada,42.8544272466621,-2.64977164314495,,,,,Europe/Madrid
298497,1166,8 de marzo 13,Parada,42.8552519153721,-2.65444644990166,,,,,Europe/Madrid
298753,1167,Valladolid / Andalucía,Parada,42.8519830182201,-2.65895723324724,,,,,Europe/Madrid
282113,1102,Valladolid 3,Parada,42.853106291095,-2.66271469343968,,,,,Europe/Madrid
282369,1103,Reyes de Navarra 10,Parada,42.8546224177047,-2.66535635781475,,,,,Europe/Madrid
265729,1038,Plaza Zuberoa,Parada,42.8543949187893,-2.66763646940424,,,,,Europe/Madrid
265985,1039,Reyes Católicos 1,Parada,42.8552065342154,-2.67272544226105,,,,,Europe/Madrid
299009,1168,Basoa 2,Parada,42.8547676246375,-2.67672405334197,,,,,Europe/Madrid
262145,1024,Avenida Gasteiz 93,Parada,42.8540168062678,-2.68033254479557,,,,,Europe/Madrid
262401,1025,Europa,Parada,42.8524688186637,-2.68066104150986,,,,,Europe/Madrid
262657,1026,Avenida Gasteiz 71,Parada,42.8504257498514,-2.68106473665808,,,,,Europe/Madrid
299265,1169,Beato Tomás de Zumárraga / Argentina,Parada,42.8506928699038,-2.68484827272072,,,,,Europe/Madrid
