service_id,date,exception_type
FE5VIR06_010601,20211024,1
FE5VIR06_010602,20211024,1
FE5VIR06_010603,20211024,1
FE5VIR06_010601,20211031,1
FE5VIR06_010602,20211031,1
FE5VIR06_010603,20211031,1
FE5VIR07_010701,20210613,1
FE5VIR07_010702,20210613,1
FE5VIR07_010703,20210613,1
FE5VIR07_010701,20210620,1
FE5VIR07_010702,20210620,1
FE5VIR07_010703,20210620,1
FE5VIR07_010701,20210627,1
FE5VIR07_010702,20210627,1
FE5VIR07_010703,20210627,1
FE5VIR07_010701,20210704,1
FE5VIR07_010702,20210704,1
FE5VIR07_010703,20210704,1
FE5VIR07_010701,20210711,1
FE5VIR07_010702,20210711,1
FE5VIR07_010703,20210711,1
FE5VIR07_010701,20210718,1
FE5VIR07_010702,20210718,1
FE5VIR07_010703,20210718,1
FE5VIR07_010701,20210725,1
FE5VIR07_010702,20210725,1
FE5VIR07_010703,20210725,1
FE5VIR07_010701,20210905,1
FE5VIR07_010702,20210905,1
FE5VIR07_010703,20210905,1
FE5VIR07_010701,20210912,1
FE5VIR07_010702,20210912,1
FE5VIR07_010703,20210912,1
FE5VIR07_010701,20210919,1
FE5VIR07_010702,20210919,1
FE5VIR07_010703,20210919,1
FE5VIR07_010701,20210926,1
FE5VIR07_010702,20210926,1
FE5VIR07_010703,20210926,1
FE5VIR07_010701,20211003,1
FE5VIR07_010702,20211003,1
FE5VIR07_010703,20211003,1
FE5VIR07_010701,20211010,1
FE5VIR07_010702,20211010,1
FE5VIR07_010703,20211010,1
FE5VIR07_010701,20211017,1
FE5VIR07_010702,20211017,1
FE5VIR07_010703,20211017,1
FE5VIR07_010701,20211024,1
FE5VIR07_010702,20211024,1
FE5VIR07_010703,20211024,1
FE5VIR07_010701,20211031,1
FE5VIR07_010702,20211031,1
FE5VIR07_010703,20211031,1
FE5VIR10_011001,20210613,1
FE5VIR10_011002,20210613,1
FE5VIR10_011003,20210613,1
FE5VIR10_011001,20210620,1
FE5VIR10_011002,20210620,1
FE5VIR10_011003,20210620,1
FE5VIR10_011001,20210627,1
FE5VIR10_011002,20210627,1
FE5VIR10_011003,20210627,1
FE5VIR10_011001,20210704,1
FE5VIR10_011002,20210704,1
FE5VIR10_011003,20210704,1
FE5VIR10_011001,20210711,1
FE5VIR10_011002,20210711,1
FE5VIR10_011003,20210711,1
FE5VIR10_011001,20210718,1
FE5VIR10_011002,20210718,1
FE5VIR10_011003,20210718,1
FE5VIR10_011001,20210725,1
FE5VIR10_011002,20210725,1
FE5VIR10_011003,20210725,1
FE5VIR10_011001,20210905,1
FE5VIR10_011002,20210905,1
FE5VIR10_011003,20210905,1
FE5VIR10_011001,20210912,1
FE5VIR10_011002,20210912,1
FE5VIR10_011003,20210912,1
FE5VIR10_011001,20210919,1
FE5VIR10_011002,20210919,1
FE5VIR10_011003,20210919,1
FE5VIR10_011001,20210926,1
FE5VIR10_011002,20210926,1
FE5VIR10_011003,20210926,1
FE5VIR10_011001,20211003,1
FE5VIR10_011002,20211003,1
FE5VIR10_011003,20211003,1
FE5VIR10_011001,20211010,1
FE5VIR10_011002,20211010,1
FE5VIR10_011003,20211010,1
FE5VIR10_011001,20211017,1
FE5VIR10_011002,20211017,1
FE5VIR10_011003,20211017,1
FE5VIR10_011001,20211024,1
FE5VIR10_011002,20211024,1
FE5VIR10_011003,20211024,1
FE5VIR10_011001,20211031,1
FE5VIR10_011002,20211031,1
FE5VIR10_011003,20211031,1
FERIAL_012899,20210801,1
FERIAL_012999,20210801,1
FERIAL_013501,20210801,1
FERIAL_012899,20210802,1
FERIAL_012999,20210802,1
FERIAL_013501,20210802,1
FERIAL_012899,20210803,1
FERIAL_012999,20210803,1
FERIAL_013501,20210803,1
FERIAL_012899,20210804,1
FERIAL_012999,20210804,1
FERIAL_013501,20210804,1
FERIAL_012899,20210805,1
FERIAL_012999,20210805,1
FERIAL_013501,20210805,1
FERIAL_012899,20210808,1
FERIAL_012999,20210808,1
FERIAL_013501,20210808,1
FERIAL_012899,20210810,1
FERIAL_012999,20210810,1
FERIAL_013501,20210810,1
FERIAL_012899,20210811,1
FERIAL_012999,20210811,1
FERIAL_013501,20210811,1
FERIAL_012899,20210812,1
FERIAL_012999,20210812,1
FERIAL_013501,20210812,1
FERIAL_012899,20210813,1
FERIAL_012999,20210813,1
