shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_2,42.8567657496287,-2.66848210592054,1,79
Route_2,42.8564856233799,-2.66814929473904,2,120
Route_2,42.856200902657,-2.66778514595946,3,163
Route_2,42.8552560880083,-2.66648895363238,4,312
Route_2,42.8551518297305,-2.66624930679189,5,335
Route_2,42.8544072472958,-2.667230197346,6,450
Route_2,42.8543850788663,-2.66734888862746,7,460
Route_2,42.8543402443145,-2.66741491759198,8,468
Route_2,42.8543178470088,-2.66745481676852,9,472
Route_2,42.8542503086729,-2.66745517893263,10,479
Route_2,42.8541555240437,-2.66737612928767,11,492
Route_2,42.8541238862111,-2.66733499008585,12,496
Route_2,42.8541012601399,-2.66729609751636,13,500
Route_2,42.854083061067,-2.66723117193551,14,506
Route_2,42.8540693845146,-2.66717310693023,15,511
Route_2,42.8540647308262,-2.66712111334805,16,515
Route_2,42.854064515199,-2.66704691156295,17,521
Route_2,42.8540868367625,-2.66698100352133,18,527
Route_2,42.8541181811916,-2.66692116680575,19,533
Route_2,42.8541496034418,-2.66688810390586,20,538
Route_2,42.8541720405912,-2.66686197406141,21,541
Route_2,42.8542125057535,-2.66684186719058,22,546
Route_2,42.8541024446903,-2.66615550709243,23,603
Route_2,42.8539512912227,-2.66527583182308,24,677
Route_2,42.8539103501871,-2.66513300212434,25,690
Route_2,42.8538922460512,-2.66510097086265,26,693
Route_2,42.8538606454236,-2.66507283739236,27,697
Route_2,42.8538110636441,-2.66505474575298,28,703
Route_2,42.8537434090137,-2.66501533246382,29,711
Route_2,42.8536756783074,-2.66494991055603,30,720
Route_2,42.8536439411518,-2.66487511460942,31,727
Route_2,42.8531542108798,-2.66369894603314,32,838
Route_2,42.8527462848898,-2.66278396805342,33,925
Route_2,42.8521299893056,-2.66144864801534,34,1054
Route_2,42.8520892696285,-2.66138231926694,35,1061
Route_2,42.8520486313206,-2.66134352850064,36,1066
Route_2,42.8520215368465,-2.66131690307679,37,1070
Route_2,42.8514047659671,-2.66134704428682,38,1139
Route_2,42.8513417324555,-2.66134815341624,39,1146
Route_2,42.8512653450242,-2.66140135166526,40,1155
Route_2,42.8512428525946,-2.66140835895671,41,1158
Route_2,42.8511663091535,-2.66140877683152,42,1166
Route_2,42.8511212632524,-2.66140213826869,43,1171
Route_2,42.8510896097075,-2.66135641455574,44,1176
Route_2,42.8510624971429,-2.66132367010067,45,1180
Route_2,42.8510579154382,-2.66129692216217,46,1183
Route_2,42.8509856189698,-2.66121087867368,47,1193
Route_2,42.850940457682,-2.66116522895349,48,1200
Route_2,42.8508368242448,-2.66114055213697,49,1211
Route_2,42.8506071260306,-2.66111885901914,50,1237
Route_2,42.8503999881008,-2.66111310638711,51,1260
Route_2,42.8497833143859,-2.66117614001591,52,1329
Route_2,42.8495087172568,-2.66119752805817,53,1359
Route_2,42.8477845499196,-2.66131250209676,54,1551
Route_2,42.8477171268661,-2.66135188016157,55,1559
Route_2,42.8476722143279,-2.66139037035739,56,1565
Route_2,42.8476498552549,-2.66144250558622,57,1570
Route_2,42.8476231291923,-2.6615405585649,58,1578
Route_2,42.8475437561917,-2.66210778129232,59,1625
Route_2,42.8474640132084,-2.66255032632023,60,1663
Route_2,42.8474067228029,-2.66297286091339,61,1698
Route_2,42.8473451215264,-2.66346119916237,62,1738
Route_2,42.8471999038631,-2.66461009301154,63,1834
Route_2,42.8471382955903,-2.66509842804733,64,1874
Route_2,42.8470408745946,-2.66565885504253,65,1921
Route_2,42.8468967108988,-2.66717793938128,66,2046
Route_2,42.8469239173436,-2.66724357400476,67,2052
Route_2,42.8469646136657,-2.6673030172059,68,2059
Route_2,42.8469873929805,-2.66739468200539,69,2067
Route_2,42.8469875661711,-2.66745434261043,70,2072
Route_2,42.8469742871393,-2.66753319760236,71,2078
Route_2,42.8469565077106,-2.66761284156669,72,2085
Route_2,42.8469116352024,-2.66766585945818,73,2092
Route_2,42.8460658677123,-2.66791668199531,74,2188
Route_2,42.8455349288457,-2.66804496351919,75,2248
Route_2,42.8441085332474,-2.66836924650272,76,2408
Route_2,42.8440997207143,-2.66843583606936,77,2414
